MoneyRaised,AmountPledged,FAQcount,UpdateCount,ofImages,ofVideos,ofDescText,backersMaxRewards,backedProjects,createdProjects,websiteLinked,collaborator,accountVerified,facebookConnected,facebookFriends,countCreator,noOfRewards,pledgeDescLength,pledge_ColemanLiau,RaisedAndPledgedRatio,followers_count,friends_count,public_list_count,tweets_count,likes_count,positivePercentage,negativePercentage,X.positive,New Backers,Returning Backers,Backers,rating
1362343.0,500000.0,15.0,30.0,39.0,2.0,2338.0,7.0,7.0,1.0,3.0,10.0,1.0,0.0,0.0,463.0,7.0,253.0,10.33,2.72,27099.0,267.0,207.0,3536.0,4397.0,27099.0,30.8277506529,2715.0,1202.0,2409.0,3611.0,1.0
134403.0,25000.0,0.0,18.0,0.0,1.0,391.0,10.0,9.0,3.0,5.0,3.0,1.0,0.0,0.0,0.0,10.0,319.0,9.52,5.38,39475.0,490.0,1033.0,8497.0,6301.0,39475.0,29.1095890411,85.0,1284.0,1974.0,3258.0,1.0
88771.0,12000.0,2.0,12.0,46.0,1.0,1841.0,0.0,40.0,8.0,3.0,8.0,1.0,1.0,539.0,14.0,7.0,383.0,9.1,7.4,27090.9858156028,1690.8857142857,298.5035971223,3940.9858156028004,4399.6086956521995,27090.9858156028,22.448979591799997,11.0,330.0,465.0,795.0,0.0
301212.0,50000.0,15.0,35.0,42.0,1.0,1017.0,10.0,23.0,1.0,3.0,8.0,1.0,1.0,719.0,219.0,9.0,259.0,12.58,6.02,1105.0,506.0,124.0,886.0,6149.0,1105.0,31.7965023847,200.0,608.0,2013.0,2621.0,0.0
1811321.0,100000.0,8.0,27.0,24.0,1.0,2438.0,5.0,6.0,1.0,4.0,3.0,0.0,0.0,0.0,139.0,24.0,1110.0,10.37,18.11,106.0,1.0,2.0,28.0,4399.6086956521995,106.0,30.555555555599998,737.0,4346.0,6162.0,10508.0,1.0
30201.0,25000.0,3.0,20.0,27.0,2.0,1141.0,0.0,32.0,1.0,2.0,3.0,1.0,1.0,484.0,36.0,7.0,191.0,6.1,1.21,27090.9858156028,1690.8857142857,298.5035971223,3940.9858156028004,4399.6086956521995,27090.9858156028,34.210526315799996,26.0,227.0,542.0,769.0,0.0
260235.0,120000.0,3.0,47.0,59.0,1.0,1480.0,1.0,176.0,3.0,1.0,3.0,1.0,0.0,0.0,196.0,24.0,1200.0,10.39,2.17,27090.9858156028,1690.8857142857,298.5035971223,3940.9858156028004,4399.6086956521995,27090.9858156028,30.9431021044,794.0,1036.0,6528.0,7564.0,0.0
791862.0,160000.0,20.0,24.0,37.0,1.0,1680.0,3.0,49.0,2.0,3.0,0.0,1.0,0.0,0.0,423.0,11.0,711.0,11.31,4.95,2766.0,862.0,16.0,506.0,1508.0,2766.0,32.7526132404,658.0,748.0,3814.0,4562.0,1.0
46253.0,11000.0,3.0,24.0,17.0,1.0,767.0,14.0,8.0,2.0,1.0,10.0,1.0,1.0,903.0,48.0,12.0,376.0,9.91,4.2,27090.9858156028,1690.8857142857,298.5035971223,3940.9858156028004,4399.6086956521995,27090.9858156028,34.210526315799996,39.0,187.0,1001.0,1188.0,1.0
34664.0,15000.0,0.0,24.0,27.0,7.0,882.0,3.0,7.0,1.0,3.0,10.0,1.0,1.0,863.0,14.0,9.0,315.0,11.19,2.31,3207.0,3645.0,38.0,203.0,285.0,3207.0,22.5806451613,14.0,301.0,861.0,1162.0,1.0
