Id,followers_count,friends_count,public_list_count,tweets_count,likes_count
361,0,0,0,0,0
362,576,944,33,929,466
363,0,0,0,0,0
364,1795,4980,61,1914,4258
365,230,373,7,580,515
366,0,0,0,0,0
367,0,0,0,0,0
368,0,0,0,0,0
369,1737,4563,28,1397,1718
370,1737,4563,28,1397,1718
371,0,0,0,0,0
372,4583,1749,445,4704,5437
373,1737,4563,28,1397,1718
374,0,0,0,0,0
375,0,0,0,0,0
