Id,AmazonCategory,AmazonPrice,AmazonImagesVideo,AmazonProdDescLength,rating
372,Toys Games,139,4,4291,5
25,Baby Products,15.99,5,3432,3.6
229,Movies TV,15.99,1,3432,4.9
358,Amazon Launchpad,9.11,4,1857,4.6
157,Electronics,29.95,3,2407,4.5
350,Sports Outdoors,225,5,4541,5
102,Patio Lawn Garden,42.03,8,1871,3.4
252,Electronics,70.84,7,3639,3.1
174,Home Kitchen,24.99,6,20,4.4
222,Clothing Shoes Jewelry,208.7,7,1593,4.5
42,Electronics,19.99,8,4431,2.8
57,Amazon Launchpad,23,4,2872,3.7
241,Books,23,4,624,4.6
108,Grocery Gourmet Food,3.99,4,2169,4.1
178,Grocery Gourmet Food,16.08,5,6554,4.4
90,Musical Instruments,160.22,7,4498,4
92,Home Kitchen,28.99,2,3049,3.8
96,Home Kitchen,39.89,7,3601,4.1
142,Books,39.89,7,777,4.7
355,Amazon Launchpad,6.99,5,1857,3.6
94,Tools Home Improvement,67.88,9,4318,3.1
68,Patio Lawn Garden,14.95,3,4079,4
210,Home Kitchen,41.99,3,2579,4.4
27,Digital Music,7.99,3,2579,4.8
114,Home Kitchen,7.99,8,2679,4.5
86,Patio Lawn Garden,27.28,7,1,4.2
324,Amazon Launchpad,6.99,4,1857,4.1
139,Sports Outdoors,52.31,4,3637,4.4
3,Home Kitchen,6.88,6,265,4.2
100,Pet Supplies,99.99,7,3852,3.5
351,Toys Games,99,9,2751,3.6
16,Tools Home Improvement,59,9,3923,4
205,Home Kitchen,21.99,5,3000,4.3
110,Grocery Gourmet Food,3.23,7,155,2.6
370,Toys Games,51.5,3,3526,5
337,Toys Games,94.06,9,7238,5
196,Grocery Gourmet Food,9.73,5,5946,4.2
13,Books,9.73,5,5946,4.3
300,Home Kitchen,169.95,3,1722,4.1
221,Home Kitchen,30.03,6,3139,4.1
78,Amazon Launchpad,149,7,4042,3.6
253,Home Kitchen,11.95,3,1367,4.6
373,Toys Games,65,3,3526,5
206,Cell Phones Accessories,38.5,4,3593,4.2
265,Clothing Shoes Jewelry,750,9,1953,5
140,Home Kitchen,32.95,8,3582,4.6
325,Toys Games,92.99,9,7229,4.6
294,Toys Games,79.71,3,3674,5
61,Musical Instruments,16.95,4,4852,4.6
93,Grocery Gourmet Food,23.2,9,3365,4.5
143,Sports Outdoors,23.2,9,6298,4
234,Cell Phones Accessories,37.74,3,1871,4.4
281,Grocery Gourmet Food,6.49,9,3344,4.4
190,Toys Games,13,2,2921,5
261,Toys Games,13,9,2243,4.4
267,Toys Games,37.93,6,4478,4.9
231,Toys Games,30,7,391,4.5
349,Electronics,89.99,7,4644,2.9
177,Electronics,29.99,6,3634,4.2
274,Electronics,169,7,5046,4.2
225,Electronics,35.97,8,2897,4.2
162,Office Products,30,3,2394,3.1
312,Toys Games,24.99,4,4661,5
235,Tools Home Improvement,399.99,5,1712,2.7
227,Cell Phones Accessories,29.99,9,3075,3.7
256,Movies TV,29.99,1,1103,4.6
82,Amazon Video,3.99,1,1103,4.6
375,Toys Games,92.86,9,4730,1
286,Home Kitchen,60,9,2083,3
38,Books,60,9,1828,4.3
19,Home Kitchen,39.5,7,5045,4.1
341,Home Kitchen,35.99,4,3663,2.7
251,Movies TV,35.99,1,624,4.4
156,Cell Phones Accessories,29.95,9,3902,3.7
15,Cell Phones Accessories,8.99,3,4792,2.9
203,Toys Games,8.99,6,3528,3.8
352,Home Kitchen,148,3,2484,4.5
97,Toys Games,42.7,9,3528,4.1
173,Amazon Video,3.99,9,3528,4.1
62,Electronics,69.99,7,3009,2.6
368,Electronics,69.99,9,916,4.5
298,Toys Games,24.99,5,4628,4.8
147,Books,24.99,5,2029,4.6
50,Toys Games,24.99,3,572,4.6
305,Cell Phones Accessories,28.72,7,737,3
186,Digital Music,8.99,7,737,4.8
359,Electronics,249,7,4983,3.4
332,Electronics,79.95,3,1716,3.2
153,Home Kitchen,35.02,5,4480,4.2
315,Cell Phones Accessories,49,7,4854,3.9
327,Toys Games,139,9,1977,3.3
194,Industrial Scientific,799.99,8,4508,3.6
247,Clothing Shoes Jewelry,74,5,336,4.8
197,Home Kitchen,24.99,6,20,4.4
216,Books,24.99,6,462,3.9
328,Electronics,39.99,7,3066,4.4
268,Books,39.99,7,853,4.8
112,Grocery Gourmet Food,3.99,4,2158,4.1
28,Toys Games,24.54,3,1125,4.5
170,Digital Music,7.99,3,1125,4.6
295,Home Kitchen,49,9,3525,4.2
184,Amazon Video,2.99,9,3525,4.2
36,Video Games,94.61,9,1763,2.5
278,Home Kitchen,27.58,3,3615,4.2
321,Toys Games,15,9,8011,4
63,Digital Music,10.49,9,8011,4.4
99,Amazon Video,4.99,9,8011,4.4
348,Amazon Launchpad,6.99,4,1857,4.3
107,Grocery Gourmet Food,6.99,7,56,3.5
1,Toys Games,25,5,579,4.8
263,Home Kitchen,12.55,8,4592,2.3
175,Tools Home Improvement,48.51,8,5299,3.8
280,Amazon Launchpad,74.75,3,2357,2.1
138,Sports Outdoors,48,5,5795,5
