Id,AmazonCategory,AmazonPrice,AmazonImagesVideo,AmazonProdDescLength,rating
237,Clothing Shoes Jewelry,650,9,1953,5
238,Home Kitchen,19.53,4,5504,5
239,Electronics,14.99,5,3477,4.1
240,Sports Outdoors,137.75,7,2713,3.2
241,Books,23,4,624,4.6
242,Digital Music,8.99,1,1188,4.8
243,Electronics,53.99,9,2969,3.6
244,Home Kitchen,120,3,2140,4.3
245,Sports Outdoors,79.99,9,5072,4.6
246,Cell Phones Accessories,39,7,3840,4.1
247,Clothing Shoes Jewelry,74,5,336,4.8
248,CDs Vinyl,49.95,4,1355,4.2
249,Books,25.55,2,0,5
250,Toys Games,34.99,2,4693,4.2
251,Movies TV,35.99,1,624,4.4
252,Electronics,70.84,7,3639,3.1
253,Home Kitchen,11.95,3,1367,4.6
254,Electronics,399,7,2973,3.9
255,Amazon Launchpad,41.2,3,351,5
256,Movies TV,29.99,1,1103,4.6
257,Sports Outdoors,650,6,3746,3.9
258,Home Kitchen,80,7,3481,4.4
259,Books,6.99,6,373,5
260,Grocery Gourmet Food,16.99,4,4534,5
261,Toys Games,13,9,2243,4.4
262,Electronics,64.6,9,3114,3.8
263,Home Kitchen,12.55,8,4592,2.3
264,Movies TV,29.15,1,647,3.9
265,Clothing Shoes Jewelry,750,9,1953,5
266,Home Kitchen,18.99,8,3618,4.2
267,Toys Games,37.93,6,4478,4.9
268,Books,39.99,7,853,4.8
269,Sports Outdoors,29.98,2,207,4.1
270,Home Kitchen,31.5,6,3139,4.3
271,Grocery Gourmet Food,29.2,3,2645,5
272,Toys Games,62.99,4,4164,4.1
273,Home Kitchen,45.6,6,3139,3.9
274,Electronics,169,7,5046,4.2
275,Clothing Shoes Jewelry,650,5,1985,5
276,Sports Outdoors,74.99,7,14918,3.7
277,Books,59.95,9,4038,3.9
278,Home Kitchen,27.58,3,3615,4.2
279,Toys Games,30.49,9,2470,3.7
280,Amazon Launchpad,74.75,3,2357,2.1
281,Grocery Gourmet Food,6.49,9,3344,4.4
282,Home Kitchen,30.99,6,3139,3.7
283,Sports Outdoors,21.02,2,3156,4
284,Toys Games,24.99,6,282,4.5
285,Clothing Shoes Jewelry,750,9,1953,5
286,Home Kitchen,60,9,2083,3
287,Home Kitchen,105,7,1886,3.6
288,Home Kitchen,32.99,7,232,4.5
289,Grocery Gourmet Food,12.52,6,5069,5
290,Amazon Launchpad,6.99,4,1857,3.7
291,Sports Outdoors,199,9,4007,2.9
292,Home Kitchen,29.99,6,3139,3.5
293,Toys Games,139,9,1977,3.3
294,Toys Games,79.71,3,3674,5
295,Home Kitchen,49,9,3525,4.2
296,Cell Phones Accessories,28.72,7,737,3
297,Grocery Gourmet Food,77.47,2,635,5
298,Toys Games,24.99,5,4628,4.8
299,Sports Outdoors,899,7,654,3.5
300,Home Kitchen,169.95,3,1722,4.1
301,Books,59.9,9,4950,5
302,Toys Games,44.99,9,2715,4.1
303,Cell Phones Accessories,89.99,8,3969,3.8
304,Books,79.99,6,1301,5
305,Cell Phones Accessories,28.72,7,737,3
306,Home Kitchen,12.55,8,4592,2.3
307,Sports Outdoors,225,4,4112,4.2
308,Toys Games,18,7,454,4.2
309,Home Kitchen,15.65,4,774,5
310,Cell Phones Accessories,89.99,8,3969,3.8
311,Books,3.99,7,449,5
312,Toys Games,24.99,4,4661,5
313,Home Kitchen,26.97,4,1695,3.2
314,Sports Outdoors,480,4,4563,5
315,Cell Phones Accessories,49,7,4854,3.9
316,Toys Games,27.55,1,1356,5
317,Home Kitchen,29.99,6,3139,3.5
318,Sports Outdoors,48,6,622,4.1
319,Electronics,15.89,5,737,2.3
320,Toys Games,29.89,9,349,3.4
321,Toys Games,15,9,8011,4
322,Electronics,39.99,7,1155,3.8
323,Sports Outdoors,73.34,4,2598,3.7
324,Amazon Launchpad,6.99,4,1857,4.1
325,Toys Games,92.99,9,7229,4.6
326,Home Kitchen,29.5,6,3139,4.2
327,Toys Games,139,9,1977,3.3
328,Electronics,39.99,7,3066,4.4
329,Sports Outdoors,25.55,2,5150,3.5
330,Home Kitchen,499,9,4214,4
331,Toys Games,39.99,7,5629,3
332,Electronics,79.95,3,1716,3.2
333,Cell Phones Accessories,89,6,3789,1.6
334,Toys Games,299,9,2751,5
335,Sports Outdoors,285,7,4820,3.8
336,Home Kitchen,8.62,1,1188,4.8
337,Toys Games,94.06,9,7238,5
338,Electronics,100,7,2739,3
339,Electronics,99.99,9,829,4.4
340,Toys Games,24.99,5,4694,5
341,Home Kitchen,35.99,4,3663,2.7
342,Toys Games,358.24,7,342,3.9
343,Electronics,399,7,7056,4.2
344,Electronics,49,9,4580,3.4
345,Toys Games,39.99,7,5629,3.9
346,Sports Outdoors,325,3,2737,5
347,Electronics,42,7,5629,3.6
348,Amazon Launchpad,6.99,4,1857,4.3
349,Electronics,89.99,7,4644,2.9
350,Sports Outdoors,225,5,4541,5
351,Toys Games,99,9,2751,3.6
352,Home Kitchen,148,3,2484,4.5
353,Toys Games,65,3,3526,5
354,Electronics,19.53,3,2655,2.8
355,Amazon Launchpad,6.99,5,1857,3.6
356,Electronics,249,7,4983,3.4
357,Cell Phones Accessories,129,7,2220,3.3
358,Amazon Launchpad,9.11,4,1857,4.6
359,Electronics,249,7,4983,3.4
360,Toys Games,65,3,3526,5
361,Amazon Launchpad,179,4,5816,5
362,Electronics,169,7,2805,3.4
363,Cell Phones Accessories,129,7,2220,3.3
364,Toys Games,109.25,9,7355,3
365,Electronics,899,9,3458,4.1
366,Toys Games,285,5,4283,5
367,Toys Games,45,3,6228,5
368,Electronics,69.99,9,916,4.5
369,Toys Games,65,3,3526,5
370,Toys Games,51.5,3,3526,5
371,Amazon Launchpad,36.95,8,4194,1
372,Toys Games,139,4,4291,5
373,Toys Games,65,3,3526,5
374,Toys Games,36.16,2,5715,4.2
375,Toys Games,92.86,9,4730,1
