Id,NumOfBackers,MoneyRaised,AmountPledged,FAQcount,UpdateCount,CommentsCount,ProjectCAtegory,ProjectLocation,ofImages,ofVideos,ofDescText,backersLeastRewards,backersMaxRewards,backedProjects,createdProjects,backerLocation,websiteLinked,collaborator,accountVerified,facebookConnected,facebookFriends,countCreator,countSuperBacker,commentsText,AmazonCategory,AmazonPrice,AmazonImagesVideo,AmazonProdDescLength,rating
117,866,661026,150000,19,64,217,Food,WA,18,1,1808,107,0,8,4,WA,1,3,1,0,0,34,5,217,Home Kitchen,1898.25,7,2306,4.2
118,8019,883460,35000,18,23,1170,Hardware,CA,31,1,592,222,9,9,1,CA,4,10,1,0,0,202,60,1172,Electronics,285,7,2940,4.2
119,24883,1192793,100000,13,26,1361,Music,MA,16,1,2102,4744,0,74,3,MA,4,8,0,0,0,14,40,1364,Digital Music,6.99,6,3528,4.6
120,10160,1552256,30000,62,21,2175,Technology,MA,25,1,2009,175,108,7,2,MA,1,8,1,0,0,264,168,2180,Toys Games,94.74,6,3528,4
121,44949,9192055,20000,12,21,11913,Product Design,IL,42,1,675,319,61,28,2,WA,1,10,1,0,0,210,1401,11924,Clothing Shoes Jewelry,159,9,4040,3.2
122,1443,103640,50000,2,20,50,Poetry,WA,8,1,1496,51,0,1,3,WA,2,1,1,1,716,6,7,50,Books,195.66,6,971,4.5
123,394,20301,20000,3,25,53,Product Design,WA,34,1,4203,21,0,16,1,WA,5,10,1,0,0,7,3,53,Pet Supplies,29.26,5,3037,3.9
124,2272,105097,100000,3,20,34,Periodicals,NY,22,1,1845,580,0,29,2,NY,5,5,1,0,0,1,0,34,Kindle Store,3.99,8,3344,5
125,2215,370001,69000,17,25,825,Product Design,UK,29,1,1253,62,0,1,1,UK,4,1,1,1,1782,169,111,826,Home Kitchen,199,9,4241,3.8
126,4541,212265,9800,7,35,777,Product Design,OH,8,1,1337,27,0,4,4,OH,2,0,1,1,161,349,22,778,Cell Phones Accessories,38.48,7,2105,2.8
127,2257,296588,70000,15,21,502,Gadgets,TX,27,1,2146,9,0,13,1,NY,5,5,1,1,1305,132,55,502,Patio Lawn Garden,173.99,7,1575,4.3
128,13387,1522160,100000,9,39,674,Product Design,UK,27,1,2536,862,1,22,2,UK,3,1,1,1,2330,59,51,682,Electronics,129.99,9,2462,4.4
129,666,41209,20000,1,17,73,Product Design,AU,9,1,567,124,4,49,2,AU,3,5,0,1,654,20,4,73,Cell Phones Accessories,34.99,9,695,4.2
130,1637,210171,55000,0,43,809,Hardware,Germany,53,1,1284,38,2,9,1,Germany,5,1,1,0,0,298,88,809,Electronics,199,9,4615,3.9
