Id,prodDescLength,prodDesc_ColemanLiau,noOfRewards,pledgeDescLength,pledge_ColemanLiau
204,847,12.36,17,676,12.4
205,1411,8.63,10,364,9.15
206,662,13.51,9,130,10.1
207,710,10.73,12,941,11.31
208,889,9.69,9,357,8.2
209,864,11.24,14,631,11.13
210,808,9.45,3,118,9.73
211,2311,12.41,14,623,12.85
212,1526,12.06,12,503,10.59
213,817,8.94,61,4374,8.3
214,345,10.26,10,333,10.28
215,521,11.37,6,209,8.75
216,895,11.24,7,193,11.41
217,380,9.33,14,278,6.56
218,779,11.83,15,693,9.04
219,661,10.79,16,570,10.09
220,889,9.69,9,357,8.2
221,475,7.36,14,560,10.14
222,622,9.91,12,371,7.75
223,1568,12.71,12,469,12.01
224,571,10.03,17,718,10.72
225,1151,10.32,16,457,2.46
226,987,10.61,12,635,10.03
227,334,13.81,11,236,11.6
228,397,16.62,13,553,13.93
229,504,13.28,40,2327,14.06
230,845,11.35,28,897,11.13
231,364,8.75,4,118,5.89
232,606,12.71,11,870,10.21
233,2217,14.45,12,562,12.59
234,538,10.16,11,471,10.22
235,741,10.32,10,246,9.15
236,1235,13.75,7,212,9.94
237,847,12.36,17,676,12.4
238,802,12.99,10,170,8.15
239,966,13.16,11,448,11.66
240,2240,11.2,14,348,9.91
241,1577,10.73,35,1839,8.48
242,2995,8.76,21,1275,9.34
243,1664,10.26,12,426,11.42
244,890,10.62,10,344,13.44
245,919,8.82,12,1083,10.96
246,807,9.97,13,420,10.59
247,1073,12.24,10,77,14.63
248,799,12.01,14,433,9.83
249,776,9.74,21,713,9.46
250,867,11.55,6,322,13.37
251,789,11.54,20,801,11.9
252,1165,9.22,12,455,11.1
253,1005,10.27,7,187,7.98
254,3564,11.19,44,1500,16.03
255,1073,12.24,10,77,14.63
256,598,12.3,13,701,12.06
257,1139,11.48,8,177,11.06
258,1232,10.62,10,528,7.41
259,878,9.86,9,285,8.48
260,846,13.74,12,793,12.3
261,1568,12.71,12,469,12.01
262,936,10.54,4,150,7.87
263,1100,10.33,11,714,7.24
264,1262,10.5,8,318,9.76
265,847,12.36,17,676,12.4
266,666,10.15,74,3926,11.02
267,2457,10.73,11,636,11.02
268,991,9.57,7,198,10.37
269,862,10.15,9,336,8.09
270,475,7.36,14,560,10.14
271,1796,12.42,11,320,6.97
272,2536,11.71,17,1314,11.67
273,475,7.36,14,560,10.14
274,1381,12.47,8,170,6.82
275,847,12.36,17,676,12.4
276,1366,10.5,9,244,11.05
277,3282,10.37,82,3203,9.43
278,1097,11.26,13,440,8.95
279,345,10.26,10,333,10.28
280,845,11.48,11,340,10.7
281,1409,10.08,12,675,9.49
282,475,7.36,14,560,10.14
283,779,9.56,11,167,13.46
284,1406,10.68,19,658,9.91
285,847,12.36,17,676,12.4
286,2116,11.54,16,636,12.06
287,1819,10.07,10,348,12.94
288,955,9.5,6,302,9.57
289,1403,10.62,12,766,7.43
290,2687,8.06,6,174,10.92
291,468,12.41,43,1568,10.44
292,475,7.36,14,560,10.14
293,1499,11.95,15,409,10.14
294,1560,10.96,9,666,12.48
295,716,12.47,11,225,9.57
296,715,11.42,7,208,7.56
297,637,8.23,14,804,9.43
298,1383,9.92,7,283,12.65
299,548,11.02,8,164,12.78
300,1120,11.48,12,662,10.78
301,574,10.79,24,1159,10.56
302,1278,12.59,9,627,10.49
303,1838,11.71,10,425,11.87
304,142,13.28,4,91,9.56
305,745,10.08,7,197,9.36
306,1100,10.33,11,714,7.24
307,728,9.34,12,493,8.58
308,2275,9.34,21,2154,9.86
309,211,8.34,5,125,9.74
310,1838,11.71,10,425,11.87
311,1029,12.06,14,611,10.98
312,1383,9.92,7,283,12.65
313,1097,11.26,13,440,8.95
314,561,11.48,11,376,8.36
315,39,13.2,7,202,11.59
316,484,10.68,9,181,11.82
317,475,7.36,14,560,10.14
318,822,11.19,12,424,7.42
319,715,11.42,7,208,7.56
320,803,10.66,20,847,11.46
321,821,8.75,10,803,11.24
322,723,12.06,7,273,12.99
323,1152,11.13,11,307,10.72
324,2687,8.06,6,174,10.92
325,2275,9.34,21,2154,9.86
326,475,7.36,14,560,10.14
327,1499,11.95,15,409,10.14
328,566,14.5,13,181,7.05
329,1073,12.24,10,77,14.63
330,1569,12.29,16,660,11.3
331,576,12.51,4,80,8.53
332,711,11.3,8,312,10.32
333,981,11.32,8,274,6.82
334,1193,14.03,12,603,8.9
335,637,12.35,10,524,10.38
336,472,8.51,13,322,11.79
337,2275,9.34,21,2154,9.86
338,898,12.47,7,223,9.54
339,801,11.78,9,367,11.01
340,1383,9.92,7,283,12.65
341,1097,11.26,13,440,8.95
342,804,13.22,7,339,7.76
343,645,12,14,556,9.72
344,931,14.55,5,114,6.93
345,576,12.51,4,80,8.53
346,1290,12.07,12,302,11.08
347,576,12.51,4,80,8.53
348,2687,8.06,6,174,10.92
349,1335,11.61,12,436,7.89
350,637,12.35,10,524,10.38
351,1193,14.03,12,603,8.9
352,265,14.21,6,104,9.74
353,697,10.79,12,463,12.48
354,138,11.39,10,63,5.84
355,2687,8.06,6,174,10.92
356,1601,10.49,13,445,7.69
357,1427,11.26,10,394,9.79
358,2687,8.06,6,174,10.92
359,1601,10.49,13,445,7.69
360,697,10.79,12,463,12.48
361,1006,10.49,17,2043,10.79
362,1092,10.72,8,210,9.73
363,1427,11.26,10,394,9.79
364,2275,9.34,21,2154,9.86
365,1294,13.23,9,361,10.32
366,1383,9.92,7,283,12.65
367,890,11.48,8,147,5.89
368,801,11.78,9,367,11.01
369,697,10.79,12,463,12.48
370,697,10.79,12,463,12.48
371,2181,10.86,19,644,10.67
372,1499,11.95,15,409,10.14
373,697,10.79,12,463,12.48
374,3022,11.37,9,947,11.65
375,901,12.28,11,288,10.53
